"","X","nÃºm_corre","aÃ.o_ocu","mes_ocu","dÃ.a_ocu","dÃ.a_sem_ocu","hora_ocu","g_hora","g_hora_5","depto_ocu","mupio_ocu","Ã.rea_geo_ocu","zona_ocu","sexo_per","edad_per","mayor_menor","g_edad_80ymÃ.s","g_edad_60ymÃ.s","edad_quinquenales","estado_con","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","deptoName"
"131",1001,1002,2015,"Abril",2,"Jueves",18,4,3,1,108,1,8,"Hombre",28,1,4,4,6,1,4,24,"Negro",9999,6,1,"Guatemala"
"132",1006,1007,2015,"Abril",2,"Jueves",15,3,2,19,1905,2,99,"Hombre",44,1,7,7,9,2,4,36,"Rojo",9999,6,1,"Zacapa"
"133",1054,1055,2015,"Abril",3,"Viernes",8,2,1,8,802,2,99,"Hombre",22,1,3,3,5,2,4,61,"Azul",9999,6,3,"Totonicapán"
"134",1072,1073,2015,"Abril",4,"Sabado",15,3,2,16,1607,2,99,"Hombre",28,1,4,4,6,9,4,40,"Negro",9999,6,1,"Alta Verapaz"
"135",1073,1074,2015,"Abril",4,"Sabado",17,3,2,16,1615,2,99,"Hombre",36,1,6,6,8,9,4,21,"Negro",9999,6,1,"Alta Verapaz"
"136",1074,1075,2015,"Abril",4,"Sabado",16,3,2,16,1614,2,99,"Hombre",22,1,3,3,5,9,4,21,"Negro",9999,6,1,"Alta Verapaz"
"137",1082,1083,2015,"Abril",5,"Domingo",9,2,1,1,101,1,7,"Hombre",43,1,7,7,9,1,4,44,"Rojo",9999,6,3,"Guatemala"
"138",1107,1108,2015,"Abril",6,"Lunes",20,4,3,1,103,2,99,"Hombre",33,1,5,5,7,1,4,42,"Corinto",9999,6,1,"Guatemala"
"139",1108,1109,2015,"Abril",6,"Lunes",7,2,1,1,115,1,6,"Hombre",39,1,6,6,8,1,4,21,"Negro",9999,6,1,"Guatemala"
"140",1128,1129,2015,"Abril",8,"Miercoles",11,2,1,1,101,2,13,"Hombre",52,1,9,9,11,1,4,99,"Rojo",9999,6,1,"Guatemala"
"141",1131,1132,2015,"Abril",8,"Miercoles",18,4,3,16,1601,2,99,"Hombre",47,1,8,8,10,1,4,99,"Azul",2013,5,1,"Alta Verapaz"
"142",1142,1143,2015,"Abril",10,"Viernes",20,4,3,12,1215,2,99,"Hombre",28,1,4,4,6,1,4,49,"Corinto",9999,6,1,"San Marcos"
"143",1148,1149,2015,"Abril",10,"Viernes",20,4,3,17,1703,2,99,"Hombre",16,2,2,2,4,9,4,42,"Azul",9999,6,1,"Petén"
"144",1150,1151,2015,"Abril",11,"Sabado",8,2,1,1,101,1,1,"Hombre",24,1,3,3,5,9,4,2,"Rojo",2012,5,1,"Guatemala"
"145",1153,1154,2015,"Abril",11,"Sabado",21,4,3,19,1904,2,99,"Hombre",28,1,4,4,6,1,4,42,"Gris",2008,4,1,"Zacapa"
"146",1160,1161,2015,"Abril",11,"Sabado",22,4,3,4,416,2,99,"Hombre",25,1,4,4,6,9,4,24,"Rojo",9999,6,1,"Chimaltenango"
"147",1162,1163,2015,"Abril",12,"Domingo",17,3,2,19,1901,2,99,"Hombre",38,1,6,6,8,9,4,31,"Negro",9999,6,1,"Zacapa"
"148",1183,1184,2015,"Abril",13,"Lunes",19,4,3,1,101,1,16,"Hombre",17,2,2,2,4,1,4,40,"Gris",9999,6,1,"Guatemala"
"149",1197,1198,2015,"Abril",15,"Miercoles",7,2,1,9,901,2,99,"Hombre",22,1,3,3,5,9,4,99,"Rojo",9999,6,2,"Quetzaltenango"
"150",1199,1200,2015,"Abril",15,"Miercoles",8,2,1,16,1601,2,99,"Hombre",24,1,3,3,5,9,4,21,"Rojo",9999,6,3,"Alta Verapaz"
"151",1203,1204,2015,"Abril",16,"Jueves",20,4,3,1,101,1,1,"Hombre",25,1,4,4,6,9,4,42,"Negro",9999,6,2,"Guatemala"
"152",1206,1207,2015,"Abril",16,"Jueves",12,3,2,10,1010,2,99,"Hombre",20,1,3,3,5,9,4,99,"Azul",9999,6,1,"Suchitepéquez"
"153",1210,1211,2015,"Abril",17,"Viernes",0,1,1,5,502,2,99,"Hombre",28,1,4,4,6,1,4,24,"Gris",9999,6,2,"Escuintla"
"154",1235,1236,2015,"Abril",19,"Domingo",21,4,3,11,1107,2,99,"Hombre",24,1,3,3,5,9,4,21,"Gris",9999,6,1,"Retalhuleu"
"155",1242,1243,2015,"Abril",20,"Lunes",0,1,1,20,2001,2,99,"Hombre",33,1,5,5,7,2,4,14,"Blanco",9999,6,3,"Chiquimula"
"156",1251,1252,2015,"Abril",20,"Lunes",16,3,2,1,101,1,25,"Hombre",23,1,3,3,5,9,4,2,"Rojo",9999,6,1,"Guatemala"
"157",1252,1253,2015,"Abril",20,"Lunes",22,4,3,6,601,2,99,"Hombre",25,1,4,4,6,9,4,2,"Negro",9999,6,3,"Santa Rosa"
"158",1260,1261,2015,"Abril",21,"Martes",8,2,1,21,2101,2,99,"Hombre",52,1,9,9,11,9,4,2,"Negro",9999,6,3,"Jalapa"
"159",1265,1266,2015,"Abril",23,"Jueves",15,3,2,1,101,1,13,"Hombre",36,1,6,6,8,1,4,42,"Rojo",2013,5,1,"Guatemala"
"160",1266,1267,2015,"Abril",23,"Jueves",13,3,2,1,101,1,11,"Hombre",34,1,5,5,7,9,4,42,"Azul",9999,6,1,"Guatemala"
"161",1270,1271,2015,"Abril",23,"Jueves",7,2,1,5,501,2,99,"Hombre",23,1,3,3,5,1,4,24,"Negro",9999,6,3,"Escuintla"
